,partid,gamble_lab,samplesize,switchfreq,switchcount,decision,group,domain,session,switch_grp,pairtype,ev_diff,L_id,L_ev,L_ev_var,H_id,H_ev,H_ev_var
807,12,S4G3,76,0.013333333333333334,1,H,old,loss,4,rare,HH-LL,0.981052631579,10.0,-6.11789473684,25.5788497217,2.0,-5.13684210526,60.1937744795
808,12,S4G4,137,0.04477611940298507,6,H,old,loss,4,rare,HL-LH,1.07789473684,14.0,-5.907368421,68.1502782931,20.0,-4.8294736842,10.7689136261
809,12,S5G1,54,0.018518518518518517,1,L,old,gain,5,rare,HH-LL,1.13315789474,37.0,4.89684210526,24.5104102247,23.0,6.03,67.4916512059
810,12,S5G2,114,0.02727272727272727,3,H,old,gain,5,rare,HL-LH,0.737894736842,24.0,5.19578947368,77.5289631004,33.0,5.93368421053,16.8831168831
811,12,S5G3,65,0.031746031746031744,2,H,old,loss,5,rare,HH-LL,0.757368421053,11.0,-5.88631578947,27.3873428159,7.0,-5.12894736842,77.8738691353
812,12,S5G4,42,0.07317073170731707,3,L,old,loss,5,rare,HL-LH,0.824736842105,1.0,-5.81842105263,60.8423005566,20.0,-4.99368421053,16.9235209235
813,12,S6G1,33,0.03125,1,H,old,gain,6,rare,HH-LL,0.987894736842,31.0,5.09631578947,11.5194805195,23.0,6.08421052632,66.4897959184
814,12,S6G2,40,0.02631578947368421,1,H,old,gain,6,rare,HL-LH,0.908421052632,24.0,5.12315789474,77.5289631004,33.0,6.03157894737,13.5881261596
815,12,S6G3,32,0.03225806451612903,1,H,old,loss,6,rare,HH-LL,0.776315789474,16.0,-5.83947368421,22.9851576994,14.0,-5.06315789474,61.345289631
816,12,S6G4,60,0.034482758620689655,2,L,old,loss,6,rare,HL-LH,0.932631578947,2.0,-5.83789473684,79.530818388,17.0,-4.90526315789,26.5565862709
817,12,S7G1,35,0.029411764705882353,1,L,old,gain,7,rare,HH-LL,0.843684210526,38.0,5.17105263158,29.2504638219,27.0,6.01473684211,79.530818388
818,12,S7G2,34,0.030303030303030304,1,H,old,gain,7,rare,HL-LH,1.03526315789,24.0,4.97789473684,74.4423830138,37.0,6.01315789474,21.6810966811
819,12,S7G3,47,0.043478260869565216,2,H,old,loss,7,rare,HH-LL,0.987368421053,9.0,-6.15789473684,29.9525870954,7.0,-5.17052631579,76.4021851165
820,12,S7G4,62,0.03389830508474576,2,H,old,loss,7,rare,HL-LH,0.869473684211,2.0,-5.96421052632,79.530818388,10.0,-5.09473684211,10.8998144712
821,12,S8G1,80,0.025974025974025976,2,L,old,gain,8,rare,HH-LL,1.08842105263,37.0,4.87052631579,23.8014842301,29.0,5.95894736842,60.0463821892
822,12,S8G2,48,0.0425531914893617,2,H,old,gain,8,rare,HL-LH,1.20736842105,24.0,4.91052631579,73.6427540713,35.0,6.11789473684,23.6866625438
823,12,S8G3,42,0.025,1,H,old,loss,8,rare,HH-LL,0.807368421053,22.0,-5.96,18.9478787879,2.0,-5.15263157895,70.0727961288
824,12,S8G4,88,0.03488372093023256,3,H,old,loss,8,rare,HL-LH,0.935263157895,14.0,-6.03,67.4916512059,20.0,-5.09473684211,18.1504844362
825,12,S9G1,43,0.04878048780487805,2,H,old,gain,9,rare,HH-LL,1.18210526316,33.0,4.98,20.3562152134,23.0,6.16210526316,65.5852401567
826,12,S9G2,40,0.02564102564102564,1,H,old,gain,9,rare,HL-LH,0.825789473684,23.0,5.06473684211,60.7955060812,28.0,5.89052631579,28.882704597
827,12,S9G3,38,0.05405405405405406,2,H,old,loss,9,rare,HH-LL,0.825263157895,16.0,-5.98947368421,21.9554730983,7.0,-5.16421052632,76.1158524016
828,12,S9G4,36,0.0,0,H,old,loss,9,rare,HL-LH,1.07315789474,3.0,-6.1252631578,76.3265306122,17.0,-5.0521052631,24.2444856731
829,13,S10G1,4,1.0,3,L,old,gain,10,freq,HH-LL,0.925789473684,28.0,5.05210526316,24.2444856731,41.0,5.97789473684,71.8645640074
830,13,S10G2,2,1.0,2,H,old,gain,10,freq,HL-LH,0.883157894737,23.0,5.13421052632,60.2383013812,31.0,6.01736842105,23.2933415791
831,13,S10G3,12,1.0,10,L,old,loss,10,freq,HH-LL,0.715789473684,15.0,-5.90526315789,27.3038548753,7.0,-5.18947368421,77.8738691353
832,13,S10G4,14,1.0,13,L,old,loss,10,freq,HL-LH,1.03473684211,2.0,-6.0810526315,77.7126365698,10.0,-5.0463157894,11.3970315399
833,13,S11G1,10,1.0,9,L,old,gain,11,freq,HH-LL,0.96,37.0,5.067,24.03,26.0,6.027,60.56
