"subject" "problem" "trial" "option" "outcome" "lastsample"
"816" 12 2 18 0 0 0
"817" 12 2 19 1 0 0
"818" 12 2 20 1 3 0
"819" 12 2 21 0 0 0
"820" 12 2 22 1 0 0
"821" 12 2 23 1 0 0
"822" 12 2 24 1 3 0
"823" 12 2 25 0 0 0
"824" 12 2 26 1 0 0
"825" 12 2 27 0 0 1
"826" 13 2 1 0 0 0
"827" 13 2 2 1 0 1
"828" 14 2 1 0 0 0
"829" 14 2 2 0 0 0
"830" 14 2 3 0 0 0
"831" 14 2 4 0 0 0
"832" 14 2 5 0 0 0
"833" 14 2 6 0 4 0
"834" 14 2 7 0 0 0
"835" 14 2 8 0 0 0
"836" 14 2 9 0 4 0
"837" 14 2 10 0 0 0
"838" 14 2 11 0 0 0
"839" 14 2 12 0 0 0
"840" 14 2 13 0 0 0
"841" 14 2 14 0 0 0
"842" 14 2 15 1 3 0
"843" 14 2 16 1 3 0
"844" 14 2 17 1 0 0
"845" 14 2 18 1 0 0
"846" 14 2 19 1 0 0
"847" 14 2 20 1 0 0
"848" 14 2 21 1 3 0
"849" 14 2 22 1 3 0
"850" 14 2 23 1 0 0
"851" 14 2 24 1 0 0
"852" 14 2 25 1 0 0
"853" 14 2 26 0 0 0
"854" 14 2 27 0 0 0
"855" 14 2 28 0 0 0
"856" 14 2 29 0 0 0
"857" 14 2 30 0 0 0
"858" 14 2 31 0 0 0
"859" 14 2 32 0 0 0
"860" 14 2 33 1 0 0
"861" 14 2 34 1 0 1
"862" 15 2 1 0 0 0
"863" 15 2 2 1 0 0
"864" 15 2 3 0 0 0
"865" 15 2 4 1 0 0
"866" 15 2 5 0 0 0
